,City,Duration,Rise(UTC Time | Alt | Az),Culminate(UTC Time | Alt | Az),Set(UTC Time | Alt | Az)
14,Bangalore3,10.6 mins,24/07/25 07:53:55 AM | 0.0° | 230.9°,24/07/25 07:59:11 AM | 35.4° | 308.2°,24/07/25 08:04:28 AM | -0.0° | 25.9°
15,Bangalore4,4.0 mins,24/07/25 04:13:47 PM | 0.0° | 22.0°,24/07/25 04:15:47 PM | 1.4° | 44.1°,24/07/25 04:17:47 PM | -0.0° | 66.1°
16,Bangalore5,10.8 mins,24/07/25 05:47:24 PM | 0.0° | 326.5°,24/07/25 05:52:47 PM | 67.1° | 52.8°,24/07/25 05:58:11 PM | -0.0° | 139.1°
17,Kolkata1,5.7 mins,23/07/25 06:37:41 PM | 0.0° | 270.5°,23/07/25 06:40:33 PM | 3.2° | 238.1°,23/07/25 06:43:25 PM | -0.0° | 205.5°
18,Kolkata2,9.2 mins,24/07/25 06:21:53 AM | 0.0° | 182.7°,24/07/25 06:26:28 AM | 13.1° | 124.3°,24/07/25 06:31:03 AM | -0.0° | 66.0°
19,Kolkata3,10.4 mins,24/07/25 07:57:47 AM | 0.0° | 240.4°,24/07/25 08:02:58 AM | 27.1° | 313.7°,24/07/25 08:08:09 AM | -0.0° | 27.1°
20,Kolkata4,1.2 mins,24/07/25 09:39:56 AM | 0.0° | 321.7°,24/07/25 09:40:32 AM | 0.1° | 328.1°,24/07/25 09:41:07 AM | -0.0° | 334.6°
21,Kolkata5,3.7 mins,24/07/25 02:36:34 PM | 0.0° | 12.9°,24/07/25 02:38:26 PM | 1.2° | 33.4°,24/07/25 02:40:17 PM | -0.0° | 53.8°
22,Kolkata6,10.5 mins,24/07/25 04:10:36 PM | 0.0° | 329.9°,24/07/25 04:15:53 PM | 34.6° | 47.4°,24/07/25 04:21:08 PM | -0.0° | 124.6°
23,Kolkata7,8.5 mins,24/07/25 05:48:02 PM | 0.0° | 289.1°,24/07/25 05:52:18 PM | 10.0° | 236.4°,24/07/25 05:56:34 PM | -0.0° | 183.5°
24,Hyderabad1,10.2 mins,23/07/25 06:35:13 PM | 0.0° | 306.0°,23/07/25 06:40:19 PM | 25.5° | 234.7°,23/07/25 06:45:26 PM | -0.0° | 163.2°
25,Hyderabad2,6.9 mins,24/07/25 06:20:27 AM | 0.0° | 162.8°,24/07/25 06:23:53 AM | 5.1° | 122.8°,24/07/25 06:27:19 AM | -0.0° | 83.0°
26,Hyderabad3,10.7 mins,24/07/25 07:54:53 AM | 0.0° | 225.7°,24/07/25 08:00:15 AM | 52.9° | 308.8°,24/07/25 08:05:38 AM | -0.0° | 32.3°
27,Hyderabad4,4.1 mins,24/07/25 09:35:25 AM | 0.0° | 297.6°,24/07/25 09:37:26 AM | 1.4° | 320.0°,24/07/25 09:39:28 AM | -0.0° | 342.4°
28,Hyderabad5,7.4 mins,24/07/25 04:11:24 PM | 0.0° | 359.8°,24/07/25 04:15:05 PM | 5.9° | 43.3°,24/07/25 04:18:46 PM | -0.0° | 86.7°
29,Hyderabad6,10.8 mins,24/07/25 05:46:37 PM | 0.0° | 317.5°,24/07/25 05:51:59 PM | 61.9° | 233.0°,24/07/25 05:57:22 PM | -0.0° | 148.4°
30,Chennai1,10.4 mins,23/07/25 06:36:20 PM | 0.0° | 309.3°,23/07/25 06:41:32 PM | 30.5° | 234.8°,23/07/25 06:46:44 PM | -0.0° | 160.2°
31,Chennai2,8.8 mins,24/07/25 06:18:46 AM | 0.0° | 178.9°,24/07/25 06:23:10 AM | 10.9° | 124.0°,24/07/25 06:27:33 AM | -0.0° | 69.2°
32,Chennai3,10.3 mins,24/07/25 07:54:31 AM | 0.0° | 237.3°,24/07/25 07:59:39 AM | 25.2° | 309.1°,24/07/25 08:04:47 AM | -0.0° | 21.1°
33,Chennai4,6.0 mins,24/07/25 04:13:17 PM | 0.0° | 10.8°,24/07/25 04:16:17 PM | 3.6° | 45.3°,24/07/25 04:19:18 PM | -0.0° | 79.8°
34,Chennai5,10.8 mins,24/07/25 05:47:47 PM | 0.0° | 321.3°,24/07/25 05:53:11 PM | 79.0° | 233.9°,24/07/25 05:58:35 PM | -0.0° | 145.6°
35,Agartala1,0.6 mins,23/07/25 06:40:19 PM | 0.0° | 242.6°,23/07/25 06:40:38 PM | 0.0° | 239.1°,23/07/25 06:40:58 PM | -0.0° | 235.7°
36,Agartala2,9.6 mins,24/07/25 06:22:21 AM | 0.0° | 188.3°,24/07/25 06:27:09 AM | 16.6° | 125.1°,24/07/25 06:31:58 AM | -0.0° | 62.0°
37,Agartala3,10.2 mins,24/07/25 07:58:38 AM | 0.0° | 245.0°,24/07/25 08:03:43 AM | 22.9° | 315.3°,24/07/25 08:08:49 AM | -0.0° | 25.7°
38,Agartala4,6.4 mins,24/07/25 02:35:39 PM | 0.0° | 358.3°,24/07/25 02:38:52 PM | 4.1° | 35.1°,24/07/25 02:42:04 PM | -0.0° | 72.0°
39,Agartala5,10.8 mins,24/07/25 04:10:43 PM | 0.0° | 323.3°,24/07/25 04:16:07 PM | 60.6° | 48.5°,24/07/25 04:21:29 PM | -0.0° | 133.8°
40,Agartala6,7.0 mins,24/07/25 05:48:53 PM | 0.0° | 278.7°,24/07/25 05:52:25 PM | 5.5° | 237.5°,24/07/25 05:55:56 PM | -0.0° | 196.1°
